state,Population_Value,Age Group,Gender,Year
 Alabama,47,18+,M,2008
 New Jersey,6,65-74,,2008
 New Mexico,7,65-74,,2008
 New York,6,65-74,,2008
 North Carolina,6,65-74,,2008
 North Dakota,6,65-74,,2008
 Ohio,7,65-74,,2008
 Oklahoma,7,65-74,,2008
 Oregon,6,65-74,,2008
 Pennsylvania,7,65-74,,2008
 Puerto Rico,7,65-74,,2008
 Rhode Island,6,65-74,,2008
 South Carolina,7,65-74,,2008
 South Dakota,6,65-74,,2008
 Tennessee,7,65-74,,2008
 Texas,5,65-74,,2008
 Utah,4,65-74,,2008
 Vermont,7,65-74,,2008
 New Hampshire,6,65-74,,2008
 Virginia,6,65-74,,2008
 Nevada,6,65-74,,2008
 Montana,7,65-74,,2008
 Florida,8,65-74,,2008
 Georgia,5,65-74,,2008
 Hawaii,6,65-74,,2008
 Idaho,6,65-74,,2008
 Illinois,6,65-74,,2008
 Indiana,6,65-74,,2008
 Iowa,7,65-74,,2008
 Kansas,6,65-74,,2008
 Kentucky,7,65-74,,2008
 Louisiana,6,65-74,,2008
 Maine,7,65-74,,2008
 Maryland,6,65-74,,2008
 Massachusetts,6,65-74,,2008
 Michigan,6,65-74,,2008
 Minnesota,6,65-74,,2008
 Mississippi,6,65-74,,2008
 Missouri,7,65-74,,2008
 Nebraska,6,65-74,,2008
 District of Columbia,6,65-74,,2008
 Washington,6,65-74,,2008
 Wisconsin,6,65-74,,2008
 Maryland,3,75-84,,2008
 Massachusetts,4,75-84,,2008
 Michigan,4,75-84,,2008
 Minnesota,4,75-84,,2008
 Mississippi,4,75-84,,2008
 Missouri,4,75-84,,2008
 Montana,4,75-84,,2008
 Nebraska,4,75-84,,2008
 Nevada,3,75-84,,2008
 New Hampshire,4,75-84,,2008
 New Jersey,4,75-84,,2008
 New Mexico,4,75-84,,2008
 New York,4,75-84,,2008
 North Carolina,4,75-84,,2008
 North Dakota,5,75-84,,2008
 Ohio,4,75-84,,2008
 Oklahoma,4,75-84,,2008
 Maine,5,75-84,,2008
 West Virginia,8,65-74,,2008
 Louisiana,4,75-84,,2008
 Kansas,4,75-84,,2008
 Wyoming,6,65-74,,2008
 Alabama,4,75-84,,2008
 Alaska,2,75-84,,2008
 Arizona,4,75-84,,2008
 Arkansas,4,75-84,,2008
 California,3,75-84,,2008
 Colorado,3,75-84,,2008
 Connecticut,4,75-84,,2008
 Delaware,4,75-84,,2008
 District of Columbia,3,75-84,,2008
 Florida,6,75-84,,2008
 Georgia,3,75-84,,2008
 Hawaii,5,75-84,,2008
 Idaho,3,75-84,,2008
 Illinois,4,75-84,,2008
 Indiana,4,75-84,,2008
 Iowa,5,75-84,,2008
 Kentucky,4,75-84,,2008
 Delaware,7,65-74,,2008
 Connecticut,6,65-74,,2008
 Colorado,5,65-74,,2008
 West Virginia,7,55-59,,2008
 Wisconsin,6,55-59,,2008
 Wyoming,7,55-59,,2008
