"State","Year","White","African American","Native Peoples","Asian","Pacific Islanders","Latin","Population Value","Gender","18-20","20-24","25-34","35-44","45-54","55-59","60-64","65-74","75-84","Total Votes","GDP","Personal Income","Total Employment","Average Sentiment Score"
" Alabama","2008","69.5","27.0","0.5","1.0","0.0","2.8","47","M","1","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL,NULL
" New Jersey","2008","70.4","13.9","0.2","7.7","0.0","16.6","6",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" New Mexico","2008","73.5","2.3","9.2","1.3","0.0","44.9","7",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" New York","2008","67.3","15.9","0.4","6.9","0.0","16.5","6",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" North Carolina","2008","70.2","21.5","1.1","1.8","0.0","7.3","6",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" North Dakota","2008","91.0","1.0","5.3","0.8","0.0","2.0","6",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" Ohio","2008","83.8","12.1","0.2","1.5","0.0","2.6","7",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" Oklahoma","2008","75.8","7.1","6.5","1.7","0.1","7.6","7",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" Oregon","2008","86.8","1.7","1.7","3.4","0.3","10.9","6",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
" Pennsylvania","2008","83.2","10.9","0.1","2.4","0.0","4.7","7",NULL,"0","0","0","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL
