state,Population,Race,Age,Year
 Wyoming,7,Hispanic,,2008
 Washington,3,Black,,2008
 West Virginia,3,Black,,2008
 Wisconsin,6,Black,,2008
 Wyoming,1,Black,,2008
 Alaska,12,,,2008
 Arizona,4,,,2008
 Colorado,1,,,2008
 Virginia,19,Black,,2008
 Utah,1,Black,,2008
 Texas,11,Black,,2008
 Nevada,7,Black,,2008
 New Hampshire,1,Black,,2008
 New Jersey,13,Black,,2008
 New Mexico,2,Black,,2008
 New York,15,Black,,2008
 North Carolina,21,Black,,2008
 North Dakota,1,Black,,2008
 Ohio,12,Black,,2008
 Oregon,1,Black,,2008
 Pennsylvania,10,Black,,2008
 Puerto Rico,7,Black,,2008
 Rhode Island,5,Black,,2008
 South Carolina,28,Black,,2008
 Tennessee,17,Black,,2008
 Oklahoma,7,Black,,2008
 Nebraska,3,Black,,2008
 Idaho,1,,,2008
 Oklahoma,6,,,2008
 Oregon,1,,,2008
 South Dakota,8,,,2008
 Utah,1,,,2008
 Washington,1,,,2008
 North Dakota,5,,,2008
 North Carolina,1,,,2008
 New Mexico,9,,,2008
 Montana,6,,,2008
 Nevada,1,,,2008
 Minnesota,1,,,2008
 Wyoming,2,,,2008
 Mississippi,38,Black,,2008
 Michigan,78,White,,2008
 Minnesota,87,White,,2008
 Mississippi,59,White,,2008
 Missouri,83,White,,2008
 Montana,89,White,,2008
 Nebraska,89,White,,2008
 Nevada,77,White,,2008
 New Hampshire,94,White,,2008
 New Jersey,70,White,,2008
 New Mexico,73,White,,2008
 New York,67,White,,2008
 North Carolina,70,White,,2008
 North Dakota,91,White,,2008
 Ohio,83,White,,2008
 Oklahoma,75,White,,2008
 Massachusetts,82,White,,2008
 Maryland,60,White,,2008
 Maine,95,White,,2008
 Louisiana,62,White,,2008
 Arizona,80,White,,2008
 Arkansas,78,White,,2008
 California,62,White,,2008
 Colorado,84,White,,2008
 Connecticut,80,White,,2008
 Delaware,72,White,,2008
 District of Columbia,37,White,,2008
 Oregon,86,White,,2008
 Florida,76,White,,2008
 Hawaii,27,White,,2008
 Idaho,92,White,,2008
 Illinois,71,White,,2008
 Indiana,85,White,,2008
 Iowa,92,White,,2008
 Kansas,86,White,,2008
 Kentucky,89,White,,2008
 Georgia,61,White,,2008
 Missouri,11,Black,,2008
 Pennsylvania,83,White,,2008
 Rhode Island,83,White,,2008
 Florida,16,Black,,2008
 Georgia,31,Black,,2008
 Hawaii,2,Black,,2008
 Illinois,15,Black,,2008
 Indiana,8,Black,,2008
 Iowa,2,Black,,2008
 Kansas,5,Black,,2008
 Kentucky,7,Black,,2008
 Louisiana,33,Black,,2008
 Maine,1,Black,,2008
 Maryland,29,Black,,2008
 Massachusetts,6,Black,,2008
 Michigan,15,Black,,2008
 Minnesota,4,Black,,2008
 District of Columbia,53,Black,,2008
 Delaware,20,Black,,2008
 Connecticut,9,Black,,2008
