state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Oregon,82.4,1.5,1.8,6.2,0.3,12.9,41,1,2008
 Oregon,91.8,0.3,1.8,1,0.1,10.8,41,2,2008
 Oregon,80.3,5.3,1.6,5.9,0.4,10.9,41,3,2008
 Oregon,91.5,0.7,1.3,2,0.2,5.9,41,4,2008
 Oregon,87.8,0.8,1.9,1.8,0.4,14.2,41,5,2008
 Pennsylvania,31.9,47.8,0.3,6.1,0.1,18.9,42,1,2008
 Pennsylvania,32,60.1,0.2,4.5,0,3.6,42,2,2008
 Pennsylvania,94,3.6,0.1,0.5,0,1.6,42,3,2008
 Pennsylvania,93.5,3.4,0.1,1.4,0,0.9,42,4,2008
 Pennsylvania,95.3,1.9,0.2,1.5,0,1.4,42,5,2008
 Pennsylvania,85.5,7,0.1,3.2,0.1,6.1,42,6,2008
 Pennsylvania,84.3,8.9,0.1,4.8,0,1.8,42,7,2008
 Pennsylvania,90.3,4.1,0.1,3.6,0,3.6,42,8,2008
 Pennsylvania,96.5,2.1,0.1,0.3,0,1.3,42,9,2008
 Pennsylvania,95.4,2,0.2,0.7,0.1,2.2,42,10,2008
 Pennsylvania,90.2,5.1,0.1,1.3,0,6.3,42,11,2008
 Pennsylvania,94.4,3.6,0.1,0.4,0,1,42,12,2008
 Pennsylvania,80.4,9.2,0.4,5.7,0,5.7,42,13,2008
 Pennsylvania,71.7,23.8,0.1,2,0,1.6,42,14,2008
 Pennsylvania,86,4.9,0.2,2.6,0.1,12,42,15,2008
 Pennsylvania,87.6,4.6,0,1.8,0,11.7,42,16,2008
 Pennsylvania,87.4,7.9,0.1,1.3,0,4.7,42,17,2008
 Pennsylvania,92.9,3.2,0.2,2.3,0,1.3,42,18,2008
 Pennsylvania,91.3,4.2,0.1,1.5,0,4.1,42,19,2008
 Rhode Island,84.6,6.4,0.3,2.2,0.1,10.1,44,1,2008
 Rhode Island,81.9,4.5,0.7,3.5,0,13.1,44,2,2008
 South Carolina,75.2,19.8,0.3,1.4,0.1,4.3,45,1,2008
 South Carolina,67.2,26.8,0.2,1.4,0,5.5,45,2,2008
 South Carolina,76.7,19.6,0.2,0.7,0,3.1,45,3,2008
 South Carolina,75.8,19.4,0.1,1.7,0.1,6.2,45,4,2008
 South Carolina,65.3,31,0.6,0.7,0,3.1,45,5,2008
 South Carolina,42.7,54.6,0.2,0.6,0,1.8,45,6,2008
 South Dakota,87.1,0.9,8.2,0.8,0,2.4,46,0,2008
 Tennessee,94.9,2.3,0.2,0.7,0,2.6,47,1,2008
 Tennessee,89.9,6,0.4,1.2,0,2.4,47,2,2008
 Tennessee,85.8,11.1,0.3,0.9,0.1,2.5,47,3,2008
 Tennessee,93,3.9,0.5,0.2,0.1,2.4,47,4,2008
 Tennessee,69.2,24.2,0.4,2.8,0.1,7.2,47,5,2008
 Tennessee,87.9,7.5,0.1,1.3,0,4.9,47,6,2008
 Tennessee,81.2,13.9,0.2,2.2,0,3.3,47,7,2008
 Tennessee,73.9,23.1,0.3,0.6,0,2.5,47,8,2008
 Tennessee,30.8,63.6,0.1,1.8,0,5,47,9,2008
 Texas,76.1,18,0.3,0.9,0,13,48,1,2008
 Texas,68.9,19.3,0.3,2.9,0,20.6,48,2,2008
 Texas,68.4,10.2,0.4,11.6,0.1,22,48,3,2008
 Texas,81.9,10.1,0.9,1.6,0.1,11.6,48,4,2008
 Texas,75.2,14,0.4,1.6,0,21.5,48,5,2008
 Texas,69.7,15.1,0.6,4.3,0.1,22.1,48,6,2008
 Texas,74.3,9.6,0.3,8.9,0,23.2,48,7,2008
 Texas,86.1,8.4,0.4,1.3,0.1,13.4,48,8,2008
 Texas,38.3,37,0.4,9.6,0.1,40.5,48,9,2008
 Texas,72.3,11.1,0.4,5.6,0.1,26.6,48,10,2008
 Texas,87,4.3,0.8,0.3,0.1,34.5,48,11,2008
 Texas,79.7,6.1,0.6,2.7,0,28.5,48,12,2008
 Texas,83.5,6.4,0.8,1.5,0.1,21.2,48,13,2008
 Texas,81.8,8.2,0.6,2.5,0,28.3,48,14,2008
 Texas,78.2,1.6,0.2,1.1,0,80.7,48,15,2008
 Texas,81.4,3.1,0.5,1.2,0,81.1,48,16,2008
 Texas,80.9,9.7,0.6,2,0,19.2,48,17,2008
 Texas,43.4,38,0.2,3.9,0.1,40.2,48,18,2008
 Texas,85,5.3,0.5,1,0,33,48,19,2008
 Texas,77.1,6.5,0.8,1.3,0.1,69.7,48,20,2008
 Texas,83.5,6.3,0.4,3,0.1,28,48,21,2008
 Texas,67.4,12.7,0.5,11.8,0,26.5,48,22,2008
 Texas,81.5,2.9,0.8,2,0.1,65.7,48,23,2008
 Texas,69.2,12.8,0.6,8,0.4,25,48,24,2008
 Texas,69.2,7.7,0.6,2,0,38.4,48,25,2008
 Texas,71.2,13.7,0.3,3,0,20.3,48,26,2008
 Texas,89.1,2.5,0.3,0.9,0,72.2,48,27,2008
 Texas,85.9,1.4,0.3,0.7,0.1,78.9,48,28,2008
 Texas,59.7,9.6,0.7,1,0.1,75.5,48,29,2008
 Texas,45,40.1,0.4,1.4,0.1,40.8,48,30,2008
 Texas,76.8,12.4,0.5,3.1,0.3,19.8,48,31,2008
 Texas,71.5,6.1,0.5,4.7,0,45.8,48,32,2008
 Utah,91.8,1.7,0.8,1.6,0.7,13.1,49,1,2008
 Utah,91.1,0.5,1.7,2.3,0.3,8,49,2,2008
 Utah,90.1,1.1,0.7,2,1.2,14.7,49,3,2008
 Vermont,95.9,0.7,0.2,1.2,0,1.2,50,0,2008
 Virginia,73.1,19.8,0.3,2.4,0.1,6.2,51,1,2008
 Virginia,68.9,22.2,0.3,4.6,0,6,51,2,2008
 Virginia,38.2,55.9,0.6,1.9,0,3.8,51,3,2008
 Virginia,62.3,32.8,0.2,1.7,0,3.3,51,4,2008
 Virginia,73.2,22.8,0.1,1.3,0.1,2.5,51,5,2008
 Virginia,85.3,11,0.3,1.2,0.2,3.1,51,6,2008
