state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Alabama,67.4,27.3,1.1,1.3,0,3,1,1,2016
 Alabama,63,32.2,0.3,1.1,0,3.5,1,2,2016
 Alabama,69.5,26.3,0.3,2,0,3,1,3,2016
 Alabama,88.4,7.1,0.8,0.9,0,6.7,1,4,2016
 Pennsylvania,31.6,56.4,0.2,6.1,0,5.8,42,2,2016
 Pennsylvania,91.8,4.6,0.1,1.2,0,2.3,42,3,2016
 Pennsylvania,84.7,8,0.2,2.6,0,7,42,4,2016
 Pennsylvania,93.4,2.8,0.1,1.6,0,2,42,5,2016
 Pennsylvania,86.3,4.1,0.2,5,0,5.9,42,6,2016
 Pennsylvania,86.2,5.8,0.1,4.8,0,3.8,42,7,2016
 Pennsylvania,87.7,3.5,0.1,5.3,0,5.3,42,8,2016
 Pennsylvania,94.2,3.1,0.1,0.6,0.1,2.2,42,9,2016
 Pennsylvania,92.5,3.2,0.1,0.9,0,4.4,42,10,2016
 Pennsylvania,88.9,5.7,0.1,1.9,0,6.6,42,11,2016
 Pennsylvania,92.5,2.8,0.1,2.1,0.1,1.4,42,12,2016
 Pennsylvania,62,20.1,0.4,8.5,0.1,12.3,42,13,2016
 Pennsylvania,71.9,20.8,0.1,2.9,0.1,2.7,42,14,2016
 Pennsylvania,84.3,5.4,0.2,2.7,0,16.6,42,15,2016
 Pennsylvania,83.2,6.5,0.5,1.9,0,18.7,42,16,2016
 Pennsylvania,93,2.6,0.1,2.1,0,1.2,42,18,2016
 Rhode Island,76.4,9.1,0.6,3.8,0.2,16.6,44,1,2016
 South Carolina,66.8,28.1,0.5,1.2,0.1,4.2,45,7,2016
 South Carolina,70.2,23.5,0.3,1.7,0.1,5.3,45,2,2016
 South Carolina,77.3,18,0.2,1.2,0.1,4.8,45,3,2016
 South Carolina,68.1,26.5,0.6,1.1,0,4.1,45,5,2016
 Tennessee,88.9,6.3,0.3,1.7,0.1,4,47,2,2016
 Tennessee,85.2,10.9,0.2,1.5,0,3.6,47,3,2016
 Tennessee,67.6,24.9,0.2,3.5,0.1,9.4,47,5,2016
 Tennessee,84.5,9.8,0.3,2,0.3,5.3,47,7,2016
 Tennessee,75.2,19.5,0.4,2.1,0.1,2.9,47,8,2016
 Texas,65.8,20.3,0.6,4.8,0.2,22.2,48,6,2016
 Texas,76.4,18.1,0.6,1.1,0.1,17.4,48,1,2016
 Texas,68.8,9.7,0.4,15.4,0.1,14.6,48,3,2016
 Texas,76.1,14.9,0.7,2.3,0.1,28.8,48,5,2016
 Texas,67.3,12.8,0.2,10.2,0,31.9,48,7,2016
 Texas,37.1,37.1,0.2,12.7,0,38.8,48,9,2016
 Texas,88.4,4.1,0.4,1.1,0,38.1,48,11,2016
 Texas,79,8.6,0.6,3.6,0.1,22,48,12,2016
 Texas,72.4,20,0.6,3.1,0,24.8,48,14,2016
 Texas,81.7,4,0.5,1.5,0,80.3,48,16,2016
 Texas,74.7,13.1,0.5,5,0.1,25.3,48,17,2016
 Texas,83.6,6.1,0.9,1.4,0.1,37.4,48,19,2016
 Texas,86.3,3.7,0.5,3.7,0.1,30.2,48,21,2016
