state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Alabama,64.3,26.1,1.2,1.5,0.1,3.8,1,1,2020
 Alabama,60.3,30.7,0.5,1.4,0.1,4.6,1,2,2020
 Alabama,65.4,25.5,0.4,2.2,0.1,3.8,1,3,2020
 Alabama,81.6,6.8,1.1,0.6,0.1,7.6,1,4,2020
 Alabama,69.9,17.3,0.8,1.8,0.1,6.5,1,5,2020
 Alabama,72.6,16.3,0.4,2,0,6.2,1,6,2020
 Alabama,31.8,61,0.3,1,0.1,4.3,1,7,2020
 Alaska,59.4,3,15.2,6,1.7,6.8,2,0,2020
 Arizona,55.2,2.6,22.2,1.7,0.2,21.4,4,1,2020
 Arizona,66.9,4.4,1.5,3.2,0.3,28.3,4,2,2020
 Arizona,39.6,4.8,4.3,2,0.2,62,4,3,2020
 Arizona,76.5,1.9,1.9,1.3,0.2,19.6,4,4,2020
 Arizona,71.3,3.6,1.3,5.8,0.3,18.6,4,5,2020
 Arizona,71.6,3.5,2,5.4,0.1,17.3,4,6,2020
 Arizona,30.9,10.9,3.5,3,0.3,62,4,7,2020
 Arizona,70.3,4.7,1.2,3.8,0.2,21.4,4,8,2020
 Arizona,59.2,6.4,3.3,5.9,0.3,27.2,4,9,2020
 Arkansas,74,17.7,0.4,0.7,0.2,4,5,1,2020
 Arkansas,64.6,22.7,0.6,1.8,0.1,7,5,2,2020
 Arkansas,72.3,2.9,1.7,3.3,1.4,15.5,5,3,2020
 Arkansas,70,18.7,0.9,0.8,0.1,6.5,5,4,2020
 California,75.5,1.4,2.4,3,0.2,15.4,6,1,2020
 California,68.9,1.6,3.2,4.2,0.2,19.6,6,2,2020
 California,48.8,6.1,1.7,11.9,0.6,31.6,6,3,2020
 California,74.1,1.5,1.3,6.2,0.2,14.5,6,4,2020
 California,49.5,6.3,1.6,11.8,0.5,30.1,6,5,2020
 California,38.3,12.2,1.4,17.5,1.5,28.7,6,6,2020
 California,51.3,7.3,0.9,18.8,0.9,18.3,6,7,2020
 California,48.9,8.6,2.2,3.6,0.4,42.7,6,8,2020
 California,35.1,9.5,1.5,16.5,0.7,40.1,6,9,2020
 California,45.2,3.5,1.8,8.9,0.8,45.2,6,10,2020
 California,44.8,8.2,1.1,15.9,0.5,28.4,6,11,2020
 California,43.3,5.4,0.7,32.2,0.4,15.2,6,12,2020
 California,35.3,15.5,1.4,21.4,0.6,23.7,6,13,2020
 California,34.5,2.6,0.9,35.4,1.2,24.2,6,14,2020
 California,30.4,5.2,0.9,38.6,1.1,23.1,6,15,2020
 California,31.1,5.5,3.2,9.3,0.2,62.9,6,16,2020
 California,21.8,1.9,0.7,58.9,0.4,15.4,6,17,2020
 California,51.1,1.8,0.7,26.6,0.3,16.8,6,18,2020
 California,28.4,2.9,1.8,30.6,0.4,39.1,6,19,2020
 California,41.7,1.9,2.5,5.5,0.4,55,6,20,2020
 California,28.4,3.8,2.3,3.6,0.1,75.4,6,21,2020
 California,44.8,3,1.7,9.2,0.2,49.3,6,22,2020
 California,48.9,6.6,2,5.6,0.2,43,6,23,2020
 California,58.1,1.6,1.7,5,0.2,38,6,24,2020
 California,43.7,8.4,1.4,8.8,0.2,42.1,6,25,2020
 California,49.1,1.8,1.8,7.3,0.2,45.9,6,26,2020
 California,29.6,4,1,40,0.1,27.9,6,27,2020
 California,59.2,3,0.8,13.2,0.1,23.9,6,28,2020
 California,28,3.9,2,8.2,0.1,66.3,6,29,2020
 California,52.4,4.7,0.9,13.3,0.1,29.2,6,30,2020
 California,33.2,10.2,1.8,8.7,0.3,54.8,6,31,2020
 California,24.6,2.6,2,20.1,0.1,61.3,6,32,2020
 California,65.3,3.3,0.4,14.9,0.2,13.2,6,33,2020
 California,20.5,5.3,2.6,19.7,0.1,59.1,6,34,2020
 California,23.2,6.4,2.3,9.5,0.2,69.9,6,35,2020
 California,45.8,4.8,2.1,3.7,0.2,50.9,6,36,2020
 California,30.3,20.3,1.6,10.4,0.1,38.3,6,37,2020
 California,25.4,3.9,2,16.5,0.4,63,6,38,2020
 California,32.6,2.3,1,33.8,0.2,34.2,6,39,2020
 California,15.7,5,2.8,2.6,0.2,87.1,6,40,2020
 California,29.3,9,2,6,0.4,61.9,6,41,2020
 California,46.2,5.9,1.4,10.8,0.4,39.7,6,42,2020
 California,19.4,21,1.6,13.5,0.5,47.5,6,43,2020
 California,15,15,2.3,6,0.7,70.5,6,44,2020
 California,49.1,1.8,0.6,27.8,0.2,19.7,6,45,2020
 California,25,2,2.7,14.1,0.4,66,6,46,2020
 California,33.9,7.2,1.2,23.5,0.7,36.1,6,47,2020
 California,56.4,1.1,0.7,19.7,0.3,21.5,6,48,2020
 California,62.6,2.4,1.1,7.8,0.5,27,6,49,2020
 California,57.8,2.8,1.9,6.4,0.3,32.9,6,50,2020
 California,24,6.4,2,8.2,0.4,71,6,51,2020
 California,57.5,3,0.5,21.3,0.3,15,6,52,2020
 California,44.2,7.7,1,14,0.6,34.7,6,53,2020
 Colorado,63.3,7.9,1.4,3.8,0.2,26,8,1,2020
 Colorado,81.7,1,0.7,3.5,0.1,11.6,8,2,2020
 Colorado,75.1,0.9,2.3,0.9,0.1,24.7,8,3,2020
 Colorado,74.7,1.5,1.1,2.6,0.1,22.5,8,4,2020
 Colorado,72.4,5.5,1.1,2.8,0.4,16.8,8,5,2020
 Colorado,60.9,9.4,1,6.6,0.3,22.1,8,6,2020
 Colorado,67.1,1.9,1.5,3.8,0.1,29.9,8,7,2020
 Connecticut,60.6,15.5,0.4,6.1,0,17.6,9,1,2020
 Connecticut,80.2,4.1,0.6,3.5,0.1,9.4,9,2,2020
